sentiment,keyword,count,posts_in_sentiment_class,keyword_rate_per_post
positive,like,532,354,1.502824858757062
positive,one,414,354,1.1694915254237288
positive,meat,392,354,1.1073446327683616
positive,some,368,354,1.03954802259887
positive,which,357,354,1.0084745762711864
positive,food,330,354,0.9322033898305084
positive,other,312,354,0.8813559322033898
positive,get,309,354,0.8728813559322034
positive,people,302,354,0.8531073446327684
positive,only,291,354,0.8220338983050848
positive,these,278,354,0.7853107344632768
positive,even,276,354,0.7796610169491526
positive,methane,274,354,0.7740112994350282
positive,new,268,354,0.7570621468926554
positive,time,264,354,0.7457627118644068
positive,day,257,354,0.7259887005649718
positive,year,252,354,0.711864406779661
positive,now,252,354,0.711864406779661
positive,here,245,354,0.692090395480226
positive,make,245,354,0.692090395480226
positive,vegan,244,354,0.6892655367231638
positive,dairy,241,354,0.6807909604519774
positive,climate,240,354,0.6779661016949152
positive,rng,240,354,0.6779661016949152
positive,use,238,354,0.672316384180791
neutral,one,2374,1571,1.5111394016549968
neutral,like,2371,1571,1.5092297899427116
neutral,some,2070,1571,1.3176320814767664
neutral,people,2043,1571,1.3004455760662
neutral,which,1973,1571,1.2558879694462126
neutral,other,1925,1571,1.22533418204965
neutral,methane,1919,1571,1.2215149586250795
neutral,emissions,1883,1571,1.1985996180776575
neutral,meat,1848,1571,1.1763208147676638
neutral,climate,1843,1571,1.173138128580522
neutral,food,1829,1571,1.1642266072565246
neutral,animal,1625,1571,1.034373010821133
neutral,been,1535,1571,0.9770846594525779
neutral,time,1533,1571,0.9758115849777212
neutral,vegan,1514,1571,0.9637173774665818
neutral,these,1497,1571,0.9528962444302992
neutral,only,1478,1571,0.9408020369191598
neutral,animals,1439,1571,0.9159770846594526
neutral,even,1429,1571,0.9096117122851687
neutral,nsf,1405,1571,0.8943348185868873
neutral,over,1376,1571,0.875875238701464
neutral,now,1375,1571,0.8752387014640356
neutral,get,1345,1571,0.856142584341184
neutral,water,1334,1571,0.8491406747294716
neutral,years,1327,1571,0.8446849140674729
negative,people,1246,1039,1.1992300288739173
negative,like,1156,1039,1.1126082771896053
negative,one,1030,1039,0.9913378248315688
negative,meat,967,1039,0.9307025986525506
negative,climate,898,1039,0.8642925890279115
negative,methane,886,1039,0.8527430221366699
negative,which,877,1039,0.8440808469682387
negative,food,861,1039,0.8286814244465832
negative,don,841,1039,0.809432146294514
negative,emissions,827,1039,0.7959576515880654
negative,some,825,1039,0.7940327237728585
negative,only,761,1039,0.7324350336862367
negative,even,755,1039,0.726660250240616
negative,because,753,1039,0.7247353224254091
negative,change,734,1039,0.7064485081809432
negative,animal,709,1039,0.6823869104908566
negative,other,701,1039,0.6746871992300288
negative,get,688,1039,0.6621751684311838
negative,been,677,1039,0.6515880654475458
negative,these,671,1039,0.6458132820019249
negative,years,663,1039,0.6381135707410972
negative,vegan,655,1039,0.6304138594802695
negative,animals,649,1039,0.6246390760346487
negative,world,644,1039,0.6198267564966313
negative,time,612,1039,0.5890279114533205
