Topic,Label,Keyword,Frequency,Keyword Topic Relevance Ratio,Avg Sentiment,Sentiment Label,Sentiment Posts,Topic Relevant
1,Emissions & Climate Science,methane,908,1.0,,N/A,0,True
1,Emissions & Climate Science,climate,849,1.0,,N/A,0,True
1,Emissions & Climate Science,carbon,686,1.0,,N/A,0,True
1,Emissions & Climate Science,livestock,445,1.0,,N/A,0,True
1,Emissions & Climate Science,cows,438,1.0,,N/A,0,True
1,Emissions & Climate Science,beef,392,0.8354430379746836,,N/A,0,True
1,Emissions & Climate Science,greenhouse,375,1.0,,N/A,0,True
1,Emissions & Climate Science,agriculture,366,0.8783068783068783,,N/A,0,True
1,Emissions & Climate Science,cattle,313,1.0,,N/A,0,True
1,Emissions & Climate Science,feed,295,1.0,,N/A,0,True
2,Dairy Farming & Livestock Practices,dairy,504,1.0,,N/A,0,True
2,Dairy Farming & Livestock Practices,farming,221,1.0,,N/A,0,True
5,"Mitigation, Technology & Sustainability",emissions,1197,1.0,,N/A,0,True
5,"Mitigation, Technology & Sustainability",farmers,192,1.0,,N/A,0,True
5,"Mitigation, Technology & Sustainability",sustainable,188,1.0,,N/A,0,True
5,"Mitigation, Technology & Sustainability",farms,169,1.0,,N/A,0,True
5,"Mitigation, Technology & Sustainability",ghg,140,0.9761904761904762,,N/A,0,True
5,"Mitigation, Technology & Sustainability",agricultural,108,0.9855072463768116,,N/A,0,True
5,"Mitigation, Technology & Sustainability",reduction,105,1.0,,N/A,0,True
